-r -q 21 128 4 100 r4_100.txt 

size #key #page #zones
2^9 1.93878 1.93878 98
2^10 1.94382 1.92135 89
2^11 1.9375 1.89583 96
2^12 2 1.93 100
2^13 2.25 1.9 100
2^14 2.34 1.86 100
2^15 2.47 1.9 100
2^16 2.43 1.86 100
2^17 2.41 1.96 100
2^18 2.32 1.99 100
2^19 2.42 2.03 100
2^20 2.31 2.13 100
2^21 1 1 100
